created_at,description,category
Chunabhatti railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chunabhatti station,Station
Cotton Green railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Cotton Green station,Station
Dadar railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Dadar station,Station
Bhandup railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhandup station,Station
Churchgate railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Churchgate station,Station
Charni Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Charni Road station,Station
Bhandup railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhandup station,Station
Charni Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Charni Road station,Station
Bhandup railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhandup station,Station
Cotton Green railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Cotton Green station,Station
Byculla railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Byculla station,Station
Bhandup railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhandup station,Station
Bhayandar railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhayandar station,Station
Borivali railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Borivali station,Station
Borivali railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Borivali station,Station
Andheri railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Andheri station,Station
Charni Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Charni Road station,Station
Byculla railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Byculla station,Station
Borivali railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Borivali station,Station
Bhayandar railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhayandar station,Station
Bhandup railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhandup station,Station
Bhandup railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhandup station,Station
Charni Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Charni Road station,Station
Byculla railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Byculla station,Station
Kharghar railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Kharghar station,Station
Bhandup railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhandup station,Station
Bhandup railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhandup station,Station
Chembur railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chembur station,Station
Charni Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Charni Road station,Station
Bandra railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bandra station,Station
Borivali railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Borivali station,Station
Charni Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Charni Road station,Station
Borivali railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Borivali station,Station
Borivali railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Borivali station,Station
Bhayandar railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhayandar station,Station
CBD Belapur railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained CBD Belapur station,Station
CBD Belapur railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained CBD Belapur station,Station
Chinchpokli railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chinchpokli station,Station
Byculla railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Byculla station,Station
Reay Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Reay Road station,Station
Chembur railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chembur station,Station
Borivali railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Borivali station,Station
CBD Belapur railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained CBD Belapur station,Station
Dockyard Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Dockyard Road station,Station
Borivali railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Borivali station,Station
Masjid Bunder railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Masjid Bunder station,Station
Byculla railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Byculla station,Station
Chinchpokli railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chinchpokli station,Station
Charni Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Charni Road station,Station
Byculla railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Byculla station,Station
Bhandup railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhandup station,Station
Borivali railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Borivali station,Station
Byculla railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Byculla station,Station
Jogeshwari railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Jogeshwari station,Station
Byculla railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Byculla station,Station
Chatrapati Shivaji Terminus railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chatrapati Shivaji Terminus station,Station
Byculla railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Byculla station,Station
Borivali railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Borivali station,Station
Chunabhatti railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chunabhatti station,Station
Khar Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Khar Road station,Station
Bhayandar railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhayandar station,Station
Chembur railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chembur station,Station
Bhayandar railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhayandar station,Station
Chinchpokli railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chinchpokli station,Station
Malad railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Malad station,Station
Cotton Green railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Cotton Green station,Station
Chatrapati Shivaji Terminus railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chatrapati Shivaji Terminus station,Station
Byculla railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Byculla station,Station
Chembur railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chembur station,Station
Charni Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Charni Road station,Station
Bhayandar railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhayandar station,Station
Bhayandar railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhayandar station,Station
Chembur railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chembur station,Station
Charni Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Charni Road station,Station
Bhandup railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhandup station,Station
Charni Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Charni Road station,Station
Mahalaxmi railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Mahalaxmi station,Station
CBD Belapur railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained CBD Belapur station,Station
Chinchpokli railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chinchpokli station,Station
Goregaon railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Goregaon station,Station
Bhayandar railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhayandar station,Station
Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Mumbai Central station,Station
Chinchpokli railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chinchpokli station,Station
Bhayandar railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhayandar station,Station
Sanpada railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Sanpada station,Station
Mankhurd railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Mankhurd station,Station
Charni Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Charni Road station,Station
Borivali railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Borivali station,Station
Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Mumbai Central station,Station
Bhayandar railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhayandar station,Station
Chatrapati Shivaji Terminus railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chatrapati Shivaji Terminus station,Station
Nahur railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Nahur station,Station
Goregaon railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Goregaon station,Station
Reay Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Reay Road station,Station
Bhandup railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhandup station,Station
Vashi railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Vashi station,Station
CBD Belapur railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained CBD Belapur station,Station
Santacruz railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Santacruz station,Station
Lower Parel railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Lower Parel station,Station
Sandhurst Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Sandhurst Road station,Station
Byculla railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Byculla station,Station
Byculla railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Byculla station,Station
Reay Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Reay Road station,Station
Cotton Green railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Cotton Green station,Station
Charni Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Charni Road station,Station
Mulund railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Mulund station,Station
Charni Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Charni Road station,Station
Chembur railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chembur station,Station
Lower Parel railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Lower Parel station,Station
Chatrapati Shivaji Terminus railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chatrapati Shivaji Terminus station,Station
CBD Belapur railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained CBD Belapur station,Station
Charni Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Charni Road station,Station
CBD Belapur railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained CBD Belapur station,Station
Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Mumbai Central station,Station
Chunabhatti railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chunabhatti station,Station
Bhayandar railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhayandar station,Station
Lower Parel railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Lower Parel station,Station
Charni Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Charni Road station,Station
Kopar railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Kopar station,Station
CBD Belapur railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained CBD Belapur station,Station
"Hi,i would like to complain about road near malad Kurar near St george High scholl.it may harmful for bike riders,i started riding bike but when i pass from this area my bike jerk a lot becoz of bad roads.please do the needfull to avoid accidents.\n\nThanks",Roads are very bad at Malad.,Station
Cotton Green railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Cotton Green station,Station
Chembur railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chembur station,Station
Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Mumbai Central station,Station
Chembur railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Chembur station,Station
Charni Road railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Charni Road station,Station
Bhayandar railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhayandar station,Station
Bhandup railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Bhandup station,Station
Borivali railway station is very badly maintained and requires urgent attention by the railway authorities. I request the railway authorities to look into this issue and take up proper maintenance works so that there is no inconvenience caused to commuters like me who use this station on a regular basis.,Badly maintained Borivali station,Station
